user_id,fraud_score,behavior_score,similarity_score,rating_entropy_score,cluster_score,reviews_per_user,cluster_id,degree,rank
AC84VPM3281GV,0.6279072248590779,0.13331781622572217,0.9671937359948644,1.0,0.5844537839705807,2,3,543,1
A2MGJ33YCV2DJM,0.5769096473382918,0.000714936365491102,0.822026289817908,1.0,0.6847543758966699,2,2,563,2
A25HBO5V8S8SEA,0.5529879519455456,0.13331781622572217,0.9937940799041267,1.0,0.25817634840718917,2,0,20,3
A3U38OLADLTYTW,0.5429382893401046,0.13331781622572217,0.9999999999999999,1.0,0.21177177788955173,2,0,25,4
A1IWMPKH1ELQQP,0.5410317516622192,0.19998965526159254,0.9374440312889398,1.0,0.1866953890460257,3,1,22,5
A1WWW237KEJDJY,0.535224499951484,0.13331781622572217,0.8375810266488242,1.0,0.3433355936862452,2,1,307,6
A1M542G46C8C7N,0.5330676106271514,0.15522808448891692,0.7535911953542452,1.0,0.39240554576766,4,0,313,7
A1TWM78I835NGZ,0.5326945279296373,0.13331781622572217,0.9403807511191579,1.0,0.23041598112852513,2,9,62,8
A2G4OJFE2Q4HJO,0.5308765485319228,0.13331781622572217,0.895549432713063,1.0,0.26797538194376147,2,0,21,9
A2BAKWNFT9N7L5,0.5297450339682539,0.13331781622572217,0.8169246626205131,1.0,0.342074093781636,2,1,45,10
A2YOI67EI4N4D,0.5141355380985321,0.13331781622572217,0.7532251792370164,1.0,0.3433355936862452,2,1,307,11
AHKOPVTQ3IEBL,0.5108404803408056,0.16399494603002987,0.9013046795735831,1.0,0.1452633065536037,3,0,46,12
A2ZD6GWOWGMC11,0.5054342099983109,0.13331781622572217,0.718419866836132,1.0,0.3433355936862452,2,1,307,13
A2OKCS5234ZV7S,0.49119753547115996,0.04442203084456168,0.8773266826749555,1.0,0.23415702219621035,2,7,79,14
A3FTI86WAVJOLG,0.48982980459000036,0.3343375139443296,0.5516662243423636,0.8509846911104326,0.3256602243960962,11,0,358,15
A22H8Y1J3EW2N8,0.4865878558375797,0.13331781622572217,0.9856223434134647,0.5,0.40074770046598734,2,7,80,16
A2TICS1YPCDLKA,0.4751616497725578,0.13331781622572217,0.5787994862001458,1.0,0.3618657334192187,2,5,162,17
A2K3XAK8BP8LA,0.4747351753027367,0.13331781622572217,0.6035099285952279,1.0,0.3354493931448521,2,0,39,18
ALMIFFHNE45JX,0.46717740149100817,0.13331781622572217,0.950812994538453,0.5,0.35791523195471303,2,0,72,19
A25E8V5JMW43RY,0.4644658850457268,0.19998965526159254,0.5386347920506024,1.0,0.2792411618183936,3,2,54,20
A2RBX3L0OJSXN0,0.46401423950132636,0.13331781622572217,0.3870955045686144,1.0,0.5089800739658242,2,14,110,21
A1A92O8IVVHW3Q,0.46245921338726415,0.13331781622572217,0.6420447924075904,1.0,0.24781068167059955,2,7,44,22
A1WKUY7T0EM0GM,0.4612673077960585,0.13331781622572217,0.5630927597850748,1.0,0.3219950919282925,2,7,147,23
A1CL2397W0CAC3,0.45622578331757996,0.13331781622572217,0.27455399388663826,1.0,0.590367759912815,2,4,1020,24
A1GYN77I2M4LQN,0.44906255806652645,0.00047355267859469245,0.7885583446228206,1.0,0.20712362442897153,2,0,33,25
A1IANEBSMVGHS9,0.4488290493653302,0.13331781622572217,0.9801565329271431,0.5,0.25517828506331103,2,0,34,26
AEJAGHLC675A7,0.4470322692450692,0.26330820626054513,0.3152418907109572,1.0,0.35691733875666565,3,0,51,27
A3I1E3B371G9AD,0.43964029792204823,0.06664597718985181,0.1873421184709638,1.0,0.6912439005894069,2,4,559,28
