user_id,reviews_per_user,reviews_per_day,burst_activity_score,unique_products,product_concentration,avg_hours_between_reviews,days_active
A0266076X6KPZ6CCHGVS,1,1.0,0.0,1,0.0,0.0,1
A100SER4Z9YAWR,1,1.0,0.0,1,0.0,0.0,1
A100WHX0JSGXDB,1,1.0,0.0,1,0.0,0.0,1
A100WO06OQR8BQ,2,0.008849557522123894,0.0,2,0.0,5400.0,226
A101OAAMZYWQ3U,1,1.0,0.0,1,0.0,0.0,1
A1027EV8A9PV1O,1,1.0,0.0,1,0.0,0.0,1
A1028XZRNI0NRP,1,1.0,0.0,1,0.0,0.0,1
A102EC3XGCBZ81,1,1.0,0.0,1,0.0,0.0,1
A102RLOGIBBDMW,1,1.0,0.0,1,0.0,0.0,1
A102ZABPUPNYCT,1,1.0,0.0,1,0.0,0.0,1
A1038957GWRBP375RU5T,1,1.0,0.0,1,0.0,0.0,1
A104F83PVACKQF,1,1.0,0.0,1,0.0,0.0,1
A104VHQ06KFLDT,1,1.0,0.0,1,0.0,0.0,1
A1056H518CJ5XD,1,1.0,0.0,1,0.0,0.0,1
A105AZN9C8UAOJ,1,1.0,0.0,1,0.0,0.0,1
A105GWGM7PDAI2,2,0.019801980198019802,0.0,2,0.0,2400.0,101
A105R38CAPDBGU,1,1.0,0.0,1,0.0,0.0,1
A105TOJ6LTVMBG,1,1.0,0.0,1,0.0,0.0,1
A106FBN3SVKSQL,1,1.0,0.0,1,0.0,0.0,1
A1089S59XSJT2T,1,1.0,0.0,1,0.0,0.0,1
A108EEYSHGDL6O,1,1.0,0.0,1,0.0,0.0,1
A108J5O7DG2WIM,1,1.0,0.0,1,0.0,0.0,1
A108QN0VQPX1W2,1,1.0,0.0,1,0.0,0.0,1
A10ARISO1UMIUN,1,1.0,0.0,1,0.0,0.0,1
A10AV4PT812CO6,1,1.0,0.0,1,0.0,0.0,1
A10AW7H143CP9M,1,1.0,0.0,1,0.0,0.0,1
A10BH1JDT6SNGA,1,1.0,0.0,1,0.0,0.0,1
A10BOETDPAFJ4C,1,1.0,0.0,1,0.0,0.0,1
A10BZC79VVV21R,1,1.0,0.0,1,0.0,0.0,1
A10C84Y38RT22P,2,0.04,0.0,2,0.0,1176.0,50
A10CRW7XRJBJ2G,1,1.0,0.0,1,0.0,0.0,1
A10CT6NX3DLQ8B,1,1.0,0.0,1,0.0,0.0,1
A10CY1HLD2P2Y0,1,1.0,0.0,1,0.0,0.0,1
A10DKG2D2J845R,1,1.0,0.0,1,0.0,0.0,1
A10G67NY7XQQIQ,1,1.0,0.0,1,0.0,0.0,1
A10G7GOD9ZWVVV,1,1.0,0.0,1,0.0,0.0,1
A10GWHRIUD964P,1,1.0,0.0,1,0.0,0.0,1
A10H073G5MOLJA,1,1.0,0.0,1,0.0,0.0,1
A10JU0DFXS3WR8,1,1.0,0.0,1,0.0,0.0,1
A10K1AI4CC0588,1,1.0,0.0,1,0.0,0.0,1
A10K41QA6YVOXR,1,1.0,0.0,1,0.0,0.0,1
A10K4IH3C93O4L,1,1.0,0.0,1,0.0,0.0,1
A10KDHOU58875,1,1.0,0.0,1,0.0,0.0,1
A10KI8CUGFN14O,1,1.0,0.0,1,0.0,0.0,1
A10LSISVUDS2GH,1,1.0,0.0,1,0.0,0.0,1
A10LWFKVC21F82,1,1.0,0.0,1,0.0,0.0,1
A10M0GF5ZFODYU,1,1.0,0.0,1,0.0,0.0,1
A10MB3X3QKRDI0,1,1.0,0.0,1,0.0,0.0,1
A10MVAVRS0Y91,1,1.0,0.0,1,0.0,0.0,1
A10MVOFKTZVNN4,1,1.0,0.0,1,0.0,0.0,1
A10N9KVV3DIUWD,1,1.0,0.0,1,0.0,0.0,1
A10NIIWUHCDI0Q,1,1.0,0.0,1,0.0,0.0,1
A10NQKIG7NXUR7,1,1.0,0.0,1,0.0,0.0,1
A10ONZJPXOK6G7,1,1.0,0.0,1,0.0,0.0,1
A10P8UG177H2XR,1,1.0,0.0,1,0.0,0.0,1
A10PEXB6XAQ5XF,1,1.0,0.0,1,0.0,0.0,1
A10QQWAYZVX2QS,1,1.0,0.0,1,0.0,0.0,1
A10R0C79S921EP,1,1.0,0.0,1,0.0,0.0,1
A10RHYA8B2K9QT,1,1.0,0.0,1,0.0,0.0,1
A10S9NK38WEQ65,1,1.0,0.0,1,0.0,0.0,1
A10SRJNBFF2BGY,2,0.012987012987012988,0.0,2,0.0,3672.0,154
A10TI75YHEDJ55,1,1.0,0.0,1,0.0,0.0,1
A10TI8SX6OKJ23,1,1.0,0.0,1,0.0,0.0,1
A10TTUZKZRCT44,1,1.0,0.0,1,0.0,0.0,1
A10U7PLPODFA0M,1,1.0,0.0,1,0.0,0.0,1
A10UHQH1YL5Q6B,1,1.0,0.0,1,0.0,0.0,1
A10UQI8QS0Z2N3,1,1.0,0.0,1,0.0,0.0,1
A10VE1GY2DIMOZ,1,1.0,0.0,1,0.0,0.0,1
A10VGVCS9EFVGZ,1,1.0,0.0,1,0.0,0.0,1
A10WET3ZP50AFG,1,1.0,0.0,1,0.0,0.0,1
A10WILNLQ44MGQ,1,1.0,0.0,1,0.0,0.0,1
A10X33VL24RGDK,1,1.0,0.0,1,0.0,0.0,1
A10X3LYWCWIDAH,1,1.0,0.0,1,0.0,0.0,1
A10X9ME6R66JDX,1,1.0,0.0,1,0.0,0.0,1
A10XB56QFYLVC8,1,1.0,0.0,1,0.0,0.0,1
A10Y058K7B96C6,1,1.0,0.0,1,0.0,0.0,1
A10YZUINKZHDJW,1,1.0,0.0,1,0.0,0.0,1
A10ZEOXLINIOEP,1,1.0,0.0,1,0.0,0.0,1
A110PC8C5Y7MQD,1,1.0,0.0,1,0.0,0.0,1
A110S8IJ3ZID0D,1,1.0,0.0,1,0.0,0.0,1
A111XJY4XSDIY9,1,1.0,0.0,1,0.0,0.0,1
A11229C4LTJ4JG,1,1.0,0.0,1,0.0,0.0,1
A112SYEKX4ZTUI,1,1.0,0.0,1,0.0,0.0,1
A11312A9J5RL9J,1,1.0,0.0,1,0.0,0.0,1
A1134O4T95NOR2,1,1.0,0.0,1,0.0,0.0,1
A113JL355TBC33,1,1.0,0.0,1,0.0,0.0,1
A113KNP2LMBXMI,1,1.0,0.0,1,0.0,0.0,1
A114Z5X6UH93GT,1,1.0,0.0,1,0.0,0.0,1
A115J29WONV2JZ,1,1.0,0.0,1,0.0,0.0,1
A11617B1NW474D,1,1.0,0.0,1,0.0,0.0,1
A1169WM71ZTLXR,1,1.0,0.0,1,0.0,0.0,1
A116JE9WSXSETB,1,1.0,0.0,1,0.0,0.0,1
A1179AOJ8WJL5U,1,1.0,0.0,1,0.0,0.0,1
A117L29JBUWK5U,1,1.0,0.0,1,0.0,0.0,1
A118A49ORGNEUM,2,0.0030349013657056147,0.0,2,0.0,15792.0,659
A118PJ95C6GDJI,1,1.0,0.0,1,0.0,0.0,1
A119IU67AHNE2W,1,1.0,0.0,1,0.0,0.0,1
A119UPKK8J0VWQ,1,1.0,0.0,1,0.0,0.0,1
A119VL7KR5EIR6,1,1.0,0.0,1,0.0,0.0,1
A11A8GWG0IXBZH,1,1.0,0.0,1,0.0,0.0,1
A11B7E8ERAX3KD,1,1.0,0.0,1,0.0,0.0,1
A11CH52DG6EF6P,2,0.0011068068622025456,0.0,2,0.0,43344.0,1807
A11D1KHM7DVOQK,3,0.0029644268774703555,0.0,3,0.0,12132.0,1012
A11D3W4CFYZNHM,1,1.0,0.0,1,0.0,0.0,1
A11DJX3UKJD737,1,1.0,0.0,1,0.0,0.0,1
A11ED8O95W2103,5,0.015105740181268883,0.39999968000025604,5,0.0,1980.0,331
A11EKN3A8FUEDC,1,1.0,0.0,1,0.0,0.0,1
A11F8JSQ206D9J,1,1.0,0.0,1,0.0,0.0,1
A11HV501OX9MNV,1,1.0,0.0,1,0.0,0.0,1
A11IFJDOZ0T6Z2,1,1.0,0.0,1,0.0,0.0,1
A11IR07H8SYDD0,1,1.0,0.0,1,0.0,0.0,1
A11JCTWMX14IGZ,2,0.0027816411682892906,0.0,2,0.0,17232.0,719
A11JD0X51IJ7RM,1,1.0,0.0,1,0.0,0.0,1
A11JDD2KZVUOT6,1,1.0,0.0,1,0.0,0.0,1
A11KX4PSKOL7VL,1,1.0,0.0,1,0.0,0.0,1
A11KZ906QD08C5,1,1.0,0.0,1,0.0,0.0,1
A11L3AWH521WFV,1,1.0,0.0,1,0.0,0.0,1
A11L90R7RWJA8H,1,1.0,0.0,1,0.0,0.0,1
A11LTGLPJ66GTN,1,1.0,0.0,1,0.0,0.0,1
