user_id,cluster_id,degree,degree_centrality,betweenness_centrality,clustering_coefficient
A1ABVP0DV1ZN89,0,29,0.0033387059636196177,8.014268408201302e-05,0.6650246305418719
A6ILK3FXYH595,0,29,0.0033387059636196177,0.0,1.0
A7RV1KU5O0II9,0,32,0.0036840893391664746,0.0008003721686912493,0.2721774193548387
A1JTSRG8SU4VFO,2,10,0.0011512779184895234,0.0,1.0
AJ6TMOHHFJJAJ,68,4,0.00046051116739580933,0.0,1.0
A2XW3HYL9YSJGW,0,12,0.001381533502187428,0.0,1.0
A1JSO7PPEA0W72,0,58,0.006677411927239235,0.0015554495858158214,0.3042952208106473
A3OZZ0IQTIPZNW,0,7,0.0008058945429426663,0.0,1.0
A1YCDZ4K4G0CN3,0,28,0.0032235781717706653,1.1500244243633233e-05,0.7328042328042328
AV27WAAYOTH0U,0,29,0.0033387059636196177,0.0,1.0
A335QXPTV1RIV1,0,29,0.0033387059636196177,0.0,1.0
AZZ1KF8RAO1BR,0,7,0.0008058945429426663,0.0,1.0
A3C4JNSTXZEMTL,0,24,0.002763067004374856,0.00012141679534682589,0.48188405797101447
A1RO3O4905L66T,68,4,0.00046051116739580933,0.0,1.0
A4QBJJ9YC59WE,0,6,0.000690766751093714,0.0,1.0
A178RW5ZI68YR3,0,5,0.0005756389592447617,0.0,1.0
A2KKVYSLUE5JFR,2,5,0.0005756389592447617,0.0,1.0
A3FTRN2V98QBCP,0,47,0.00541100621690076,0.00010610748849608475,0.5938945420906568
A6HIYEJGCE1MA,0,8,0.0009210223347916187,0.0,1.0
A2Q6I453ZNXBE2,0,6,0.000690766751093714,0.0,1.0
A12NAEUGYXUIRD,0,6,0.000690766751093714,0.0,1.0
A2Y06YSBK1YYWT,0,10,0.0011512779184895234,0.0,1.0
APZA8SXX9DMT8,0,13,0.0014966612940363804,0.0,1.0
AP0ZL2WX8J0JD,0,23,0.0026479392125259038,0.0,1.0
A36XMNKPKOG69I,0,11,0.0012664057103384757,0.0,1.0
A1OH6EB0V4L138,0,4,0.00046051116739580933,0.0,1.0
AN9TLUKFAJHP8,0,8,0.0009210223347916187,0.0,1.0
AHKOPVTQ3IEBL,0,46,0.0052958784250518075,0.00020299905784948162,0.37874396135265703
A2HW2SL0WG09OR,0,7,0.0008058945429426663,0.0,1.0
A37GFV0AL784BL,0,6,0.000690766751093714,0.0,1.0
A1QWYAWB1DRSQF,0,76,0.008749712180520378,0.00016972889776288054,0.8098245614035088
A2U6X0GHPCODVV,0,11,0.0012664057103384757,0.0,1.0
AD50TWQOM8W4G,0,71,0.008174073221275616,0.004815429443633818,0.3352112676056338
A264DG2U0C0BYH,0,6,0.000690766751093714,0.0,1.0
A2MMTMB7CKROY0,0,5,0.0005756389592447617,0.0,1.0
A2YHABRZJVRSYF,0,11,0.0012664057103384757,0.0,1.0
