user_id,cluster_id
A36XQ1OK9UUSB0,0
A22K8OBJPM3FL5,0
A3U648J0AHF50K,0
A198JGOF1W0D69,0
A2AO270D2JMUK9,0
AIVJDP9TGEGZN,0
A1CCBLW6NH70ID,0
A1VRWURI5XLNU5,0
A2U6X0GHPCODVV,0
AOZB4GES5J7FK,0
ADHS2PU94QURO,0
A3URVWPFJOHT72,0
A1EUNXD1YH4P25,0
A2BDT8C8FGPNF4,0
A2LCJASTNJO98K,0
A1I3GL5GLBEQ7X,0
A1WE2JDDCUG2L0,0
A2PZJYHC2342W,0
A18PDUB7HSEP10,0
ABZLC33PJO47S,0
AVPDFPMZK4Q65,0
A30I0LXKTAP4F,0
AA4O1ZUMQ6IGG,0
A3HS9IAJG1X3WK,0
ASKH6TPNTTAFS,0
AD8DLOGHAXL,0
A1OEV2NKRD59M4,0
A2P0SF8FSBIOKM,0
A3II7EVHKX41Z9,0
A2TCXL888UE26K,0
ANTGMXTKB7SQS,0
A2YHXGPCTENZY3,0
ACMRDAKUXXN5D,0
APP45XD85ARYL,0
A18N2RPPBF5MF9,0
A5ITGZTKFCN65,0
A2HPF56C5C13I1,0
A39FKRQK3E8VZQ,0
ABQ255D6JXBNV,0
A46YT26BA97R0,0
A234GO3KZYKKTE,0
AECYGE0VCQ8HB,0
A49UG6ANGV6M1,0
AGZ8HQO485IL8,0
A1Y5UABA87I2JI,0
AYE6O5A7WOXR0,0
A321UWX6A3K66B,0
A2T70SN2VZHOR4,0
ABMZGK7Z5I9N0,0
AHNHLGKIZ2N3B,0
A2X9SQSKV4WKT0,0
A3OXHLG6DIBRW8,0
A2UREP3Z9EU6V5,0
A20Y4QKFFH7A2X,0
A2V1E7EAKW3CWB,0
AHVLDNLA5IRQ1,0
A1UZ2MQ5FBH7GA,0
A3TLPFNP3V2BWK,0
A2V0I904FH7ABY,0
A2LX285KLNY8M3,0
A2B3QTNPR6EFDO,0
A3J7BP60ZB6HW3,0
A1TUUSQODOPXOE,0
A25SPTJVZ8DT1Z,0
A3EVTPOJDS5OQ9,0
A1A23QM5WA9F0H,0
A3AD2Z84TP6P2S,0
A3QDY9I0CNMD2W,0
A2HGQNXVQ8DPA8,0
A1CBFIXDW95M5X,0
ATYQBGM6Q5UMD,0
A2T463WX091RTX,0
ALMK0YBTI72RL,0
A1IAFOBW8ZR469,0
A4UMQLZ0O489D,0
AIMV33HXTEZOI,0
A25D7KKZFL2PH0,0
A2OZDMW87K5XSO,0
ABKHKGA3OVZ05,0
A3OZR4QXMILU6E,0
A7LVTP7N6Q9Q1,0
A3KYYFT538CZ0O,0
A2211XQCAX9TD4,0
A352L9PCDDK7NE,0
ANWZYGU6HFYM9,0
A3N176NMT960UW,0
A7ED6BJO320TG,0
A2MG95DI29NJTJ,0
A2RBMWT2ZB95JY,0
AOVROBZ8BNTP7,0
A16EQGG2OZD7AE,0
AC1SOWF86U4IJ,0
A390KWCJRLHPOD,0
A38IFC31823UST,0
A2I76U2KSA7QWL,0
A3I28B9NJBGB5O,0
A34VCCL1YO6D0I,0
A1RVSPTDB45J2M,0
A7NZKPZBCYBV9,0
A20DHSLIR6QPO0,0
AINUV6DVXMKEM,0
AEJAGHLC675A7,0
A3KKMR2NISUND4,0
