cluster_id,product_id,num_reviews_in_cluster,num_cluster_users,avg_cluster_reviews_per_user,avg_rating_for_product,avg_cluster_fraud_score,is_suspicious_cluster,pct_fraud_reviews,rank_in_cluster
6,B00001WRSJ,381,1,381.0,4.656167979002625,0.35494501741864826,0,0.0,1
6,B00001W0DD,13,1,13.0,4.0,0.35494501741864826,0,0.0,2
6,B00004TZJI,6,1,6.0,4.166666666666667,0.35494501741864826,0,0.0,3
6,B00003CWA6,5,1,5.0,3.6,0.35494501741864826,0,0.0,4
6,B00000J6WY,1,1,1.0,3.0,0.35494501741864826,0,0.0,5
6,B00000JDHV,1,1,1.0,5.0,0.35494501741864826,0,0.0,6
6,B0000206CT,1,1,1.0,5.0,0.35494501741864826,0,0.0,7
6,B0000222MY,1,1,1.0,4.0,0.35494501741864826,0,0.0,8
6,B00004R8V6,1,1,1.0,4.0,0.35494501741864826,0,0.0,9
4,B00004T8R2,538,1,538.0,4.37546468401487,0.35379369299647045,0,0.0,1
4,B00001P4ZH,11,1,11.0,4.454545454545454,0.35379369299647045,0,0.0,2
4,B00001W0D4,7,1,7.0,4.142857142857143,0.35379369299647045,0,0.0,3
4,B000001OMT,6,1,6.0,4.0,0.35379369299647045,0,0.0,4
4,B00001P4XH,3,1,3.0,2.6666666666666665,0.35379369299647045,0,0.0,5
4,B00001P4ZR,3,1,3.0,5.0,0.35379369299647045,0,0.0,6
4,B00001WRSJ,3,1,3.0,4.0,0.35379369299647045,0,0.0,7
4,B000001OMI,2,1,2.0,4.5,0.35379369299647045,0,0.0,8
4,B00000J1TX,2,1,2.0,5.0,0.35379369299647045,0,0.0,9
4,B00000J4EY,2,1,2.0,4.0,0.35379369299647045,0,0.0,10
4,B00004SABB,2,1,2.0,3.0,0.35379369299647045,0,0.0,11
4,140053271X,1,1,1.0,5.0,0.35379369299647045,0,0.0,12
4,9573212900,1,1,1.0,1.0,0.35379369299647045,0,0.0,13
4,9888002198,1,1,1.0,1.0,0.35379369299647045,0,0.0,14
4,B00000J08Q,1,1,1.0,5.0,0.35379369299647045,0,0.0,15
4,B00000J1QK,1,1,1.0,5.0,0.35379369299647045,0,0.0,16
4,B00000J1SC,1,1,1.0,4.0,0.35379369299647045,0,0.0,17
4,B00000J1V7,1,1,1.0,5.0,0.35379369299647045,0,0.0,18
4,B00000J3Q7,1,1,1.0,4.0,0.35379369299647045,0,0.0,19
4,B00000JBHP,1,1,1.0,4.0,0.35379369299647045,0,0.0,20
4,B00000JD4V,1,1,1.0,4.0,0.35379369299647045,0,0.0,21
4,B00000JGN9,1,1,1.0,4.0,0.35379369299647045,0,0.0,22
4,B00000K135,1,1,1.0,5.0,0.35379369299647045,0,0.0,23
4,B00000K13L,1,1,1.0,4.0,0.35379369299647045,0,0.0,24
4,B00001P505,1,1,1.0,4.0,0.35379369299647045,0,0.0,25
4,B00001U0AJ,1,1,1.0,1.0,0.35379369299647045,0,0.0,26
