user_id,rating_entropy,avg_rating,std_rating,rating_concentration,pct_five_star,pct_positive_ratings,num_ratings
A0266076X6KPZ6CCHGVS,0.0,5.0,0.0,1.0,1.0,1.0,1
A100SER4Z9YAWR,0.0,5.0,0.0,1.0,1.0,1.0,1
A100WHX0JSGXDB,0.0,5.0,0.0,1.0,1.0,1.0,1
A100WO06OQR8BQ,0.0,5.0,0.0,1.0,1.0,1.0,2
A101OAAMZYWQ3U,0.0,1.0,0.0,1.0,0.0,0.0,1
A1027EV8A9PV1O,0.0,5.0,0.0,1.0,1.0,1.0,1
A1028XZRNI0NRP,0.0,3.0,0.0,1.0,0.0,0.0,1
A102EC3XGCBZ81,0.0,5.0,0.0,1.0,1.0,1.0,1
A102RLOGIBBDMW,0.0,4.0,0.0,1.0,0.0,1.0,1
A102ZABPUPNYCT,0.0,4.0,0.0,1.0,0.0,1.0,1
A1038957GWRBP375RU5T,0.0,5.0,0.0,1.0,1.0,1.0,1
A104F83PVACKQF,0.0,5.0,0.0,1.0,1.0,1.0,1
A104VHQ06KFLDT,0.0,4.0,0.0,1.0,0.0,1.0,1
A1056H518CJ5XD,0.0,5.0,0.0,1.0,1.0,1.0,1
A105AZN9C8UAOJ,0.0,5.0,0.0,1.0,1.0,1.0,1
A105GWGM7PDAI2,0.0,5.0,0.0,1.0,1.0,1.0,2
A105R38CAPDBGU,0.0,1.0,0.0,1.0,0.0,0.0,1
A105TOJ6LTVMBG,0.0,4.0,0.0,1.0,0.0,1.0,1
A106FBN3SVKSQL,0.0,5.0,0.0,1.0,1.0,1.0,1
A1089S59XSJT2T,0.0,5.0,0.0,1.0,1.0,1.0,1
A108EEYSHGDL6O,0.0,5.0,0.0,1.0,1.0,1.0,1
A108J5O7DG2WIM,0.0,5.0,0.0,1.0,1.0,1.0,1
A108QN0VQPX1W2,0.0,4.0,0.0,1.0,0.0,1.0,1
A10ARISO1UMIUN,0.0,5.0,0.0,1.0,1.0,1.0,1
A10AV4PT812CO6,0.0,5.0,0.0,1.0,1.0,1.0,1
A10AW7H143CP9M,0.0,5.0,0.0,1.0,1.0,1.0,1
A10BH1JDT6SNGA,0.0,5.0,0.0,1.0,1.0,1.0,1
A10BOETDPAFJ4C,0.0,5.0,0.0,1.0,1.0,1.0,1
A10BZC79VVV21R,0.0,3.0,0.0,1.0,0.0,0.0,1
A10C84Y38RT22P,0.0,5.0,0.0,1.0,1.0,1.0,2
A10CRW7XRJBJ2G,0.0,5.0,0.0,1.0,1.0,1.0,1
A10CT6NX3DLQ8B,0.0,5.0,0.0,1.0,1.0,1.0,1
A10CY1HLD2P2Y0,0.0,4.0,0.0,1.0,0.0,1.0,1
A10DKG2D2J845R,0.0,5.0,0.0,1.0,1.0,1.0,1
A10G67NY7XQQIQ,0.0,5.0,0.0,1.0,1.0,1.0,1
A10G7GOD9ZWVVV,0.0,5.0,0.0,1.0,1.0,1.0,1
A10GWHRIUD964P,0.0,1.0,0.0,1.0,0.0,0.0,1
A10H073G5MOLJA,0.0,4.0,0.0,1.0,0.0,1.0,1
A10JU0DFXS3WR8,0.0,5.0,0.0,1.0,1.0,1.0,1
A10K1AI4CC0588,0.0,4.0,0.0,1.0,0.0,1.0,1
A10K41QA6YVOXR,0.0,1.0,0.0,1.0,0.0,0.0,1
